> attributes= u'Fund', u'Student', 0.75, 0.93, u'Small', u'Web&Email', 1.0, 5.0, predicted=25.3466666667
> attributes= u'Fund', u'Business', 1.1, 0.93, u'Small', u'Web&Email', 1.0, 65.0, predicted=21.63
> attributes= u'Loan', u'Other', 2.17, 3.07, u'Small', u'Full', 1.0, 89.0, predicted=23.3966666667
> attributes= u'Mortgage', u'Business', 1.2, 1.17, u'Small', u'Web', 4.0, 10.0, predicted=30.7866666667
> attributes= u'CD', u'Business', 1.2, 1.09, u'Small', u'Web', 0.0, 26.0, predicted=29.64
> attributes= u'Bank_Account', u'Professional', 2.02, 0.94, u'Large', u'None', 3.0, 15.0, predicted=23.3266666667
> attributes= u'Bank_Account', u'Doctor', 4.11, 1.07, u'Large', u'Web', 1.0, 20.0, predicted=18.1533333333
> attributes= u'Bank_Account', u'Student', 4.08, 0.98, u'Large', u'None', 0.0, 15.0, predicted=17.9866666667
> attributes= u'Loan', u'Business', 14.17, 4.83, u'Medium', u'Web', 3.0, 84.0, predicted=32.4466666667
> attributes= u'Loan', u'Professional', 11.12, 5.19, u'Large', u'Web', 4.0, 103.0, predicted=30.9866666667
> attributes= u'Mortgage', u'Professional', 10.68, 6.01, u'Large', u'Web', 2.0, 85.0, predicted=31.92
> attributes= u'Mortgage', u'Doctor', 12.99, 5.21, u'Medium', u'Web', 3.0, 87.0, predicted=34.7766666667
> attributes= u'Mortgage', u'Business', 13.65, 3.71, u'Large', u'None', 1.0, 87.0, predicted=29.6466666667
> attributes= u'CD', u'Business', 5.63, 7.15, u'Medium', u'Web', 1.0, 88.0, predicted=33.6133333333
> attributes= u'CD', u'Business', 6.46, 3.69, u'Large', u'Web', 1.0, 98.0, predicted=32.7966666667
> attributes= u'Fund', u'Business', 2.19, 0.43, u'Small', u'Web', 0.0, 66.0, predicted=11.1666666667
> attributes= u'Fund', u'Business', 2.45, 0.45, u'Small', u'Web', 0.0, 74.0, predicted=11.1666666667
> attributes= u'Fund', u'Student', 2.28, 0.79, u'Small', u'Full', 0.0, 57.0, predicted=14.8566666667
> attributes= u'Fund', u'Other', 1.97, 0.82, u'Small', u'None', 2.0, 67.0, predicted=11.15
> attributes= u'CD', u'Business', 1.71, 0.85, u'Small', u'Full', 0.0, 71.0, predicted=14.0766666667
> attributes= u'CD', u'Business', 2.79, 0.76, u'Small', u'Full', 0.0, 69.0, predicted=15.8166666667
> attributes= u'Loan', u'Professional', 7.97, 0.83, u'Large', u'Full', 2.0, 107.0, predicted=23.54
> attributes= u'Loan', u'Professional', 8.99, 1.2, u'Large', u'Full', 1.0, 104.0, predicted=24.2666666667
> attributes= u'Loan', u'Business', 7.4, 1.3, u'Large', u'Full', 1.0, 115.0, predicted=17.4466666667
> attributes= u'Loan', u'Other', 7.36, 1.26, u'Large', u'Web&Email', 1.0, 98.0, predicted=16.6066666667
> attributes= u'Loan', u'Student', 8.66, 0.73, u'Medium', u'Web&Email', 0.0, 96.0, predicted=18.24
> attributes= u'Mortgage', u'Other', 6.57, 0.81, u'Medium', u'Web&Email', 0.0, 88.0, predicted=16.6933333333
> attributes= u'Mortgage', u'Student', 6.74, 0.68, u'Medium', u'Web&Email', 1.0, 70.0, predicted=15.2566666667
> attributes= u'Mortgage', u'Other', 5.49, 1.01, u'Large', u'Full', 2.0, 80.0, predicted=17.0466666667
> attributes= u'Mortgage', u'Business', 3.9, 0.98, u'Large', u'Full', 0.0, 94.0, predicted=16.9866666667
> attributes= u'Loan', u'Professional', 5.24, 3.68, u'Small', u'Web&Email', 4.0, 44.0, predicted=35.2466666667
> attributes= u'Mortgage', u'Doctor', 3.7, 5.94, u'Small', u'Web', 3.0, 47.0, predicted=42.88
> attributes= u'Fund', u'Other', 4.81, 6.35, u'Small', u'Web', 5.0, 15.0, predicted=36.4266666667
> attributes= u'CD', u'Doctor', 3.78, 4.9, u'Small', u'Full', 4.0, 53.0, predicted=42.9266666667
> attributes= u'Mortgage', u'Doctor', 12.8, 5.33, u'Large', u'Web', 1.0, 92.0, predicted=34.7766666667
> attributes= u'CD', u'Business', 8.29, 4.44, u'Medium', u'Full', 0.0, 86.0, predicted=32.6533333333
> attributes= u'CD', u'Business', 1.87, 0.74, u'Small', u'None', 0.0, 69.0, predicted=13.3
> attributes= u'Loan', u'Other', 8.46, 1.14, u'Large', u'Web&Email', 1.0, 107.0, predicted=16.3233333333
> attributes= u'Mortgage', u'Professional', 4.37, 0.62, u'Large', u'Full', 0.0, 98.0, predicted=16.73
> attributes= u'Loan', u'Other', 4.32, 4.97, u'Small', u'Full', 4.0, 46.0, predicted=35.5566666667
